date,state,cases_new,cases_recovered,cases_active
2/10/2020,W.P. Labuan,0,0,0
2/10/2020,W.P. Putrajaya,0,0,0
2/11/2020,Johor,0,0,7
2/11/2020,Kedah,0,0,1
2/11/2020,Kelantan,0,0,0
2/11/2020,Melaka,0,0,0
2/11/2020,Negeri Sembilan,0,0,2
2/11/2020,Pahang,0,0,0
2/11/2020,Perak,0,0,0
2/11/2020,Perlis,0,0,0
2/11/2020,Pulau Pinang,0,0,0
2/11/2020,Sabah,0,0,0
2/11/2020,Sarawak,0,0,0
2/11/2020,Selangor,0,0,3
2/11/2020,Terengganu,0,0,0
2/11/2020,W.P. Kuala Lumpur,0,0,2
2/11/2020,W.P. Labuan,0,0,0
2/11/2020,W.P. Putrajaya,0,0,0
2/12/2020,Johor,0,0,7
2/12/2020,Kedah,0,0,1
2/12/2020,Kelantan,0,0,0
2/12/2020,Melaka,0,0,0
2/12/2020,Negeri Sembilan,0,0,2
2/12/2020,Pahang,0,0,0
2/12/2020,Perak,0,0,0
2/12/2020,Perlis,0,0,0
2/12/2020,Pulau Pinang,0,0,0
2/12/2020,Sabah,0,0,0
2/12/2020,Sarawak,0,0,0
2/12/2020,Selangor,0,0,3
2/12/2020,Terengganu,0,0,0
2/12/2020,W.P. Kuala Lumpur,0,0,2
2/12/2020,W.P. Labuan,0,0,0
2/12/2020,W.P. Putrajaya,0,0,0
2/13/2020,Johor,0,0,7
2/13/2020,Kedah,0,0,1
2/13/2020,Kelantan,0,0,0
2/13/2020,Melaka,0,0,0
2/13/2020,Negeri Sembilan,0,0,2
2/13/2020,Pahang,0,0,0
2/13/2020,Perak,0,0,0
2/13/2020,Perlis,0,0,0
2/13/2020,Pulau Pinang,0,0,0
2/13/2020,Sabah,0,0,0
2/13/2020,Sarawak,0,0,0
2/13/2020,Selangor,0,0,3
2/13/2020,Terengganu,0,0,0
2/13/2020,W.P. Kuala Lumpur,0,0,2
2/13/2020,W.P. Labuan,0,0,0
2/13/2020,W.P. Putrajaya,0,0,0
2/14/2020,Johor,0,4,3
2/14/2020,Kedah,0,0,1
2/14/2020,Kelantan,0,0,0
2/14/2020,Melaka,0,0,0
2/14/2020,Negeri Sembilan,0,0,2
2/14/2020,Pahang,0,0,0
2/14/2020,Perak,0,0,0
2/14/2020,Perlis,0,0,0
2/14/2020,Pulau Pinang,0,0,0
2/14/2020,Sabah,0,0,0
2/14/2020,Sarawak,0,0,0
2/14/2020,Selangor,0,0,3
2/14/2020,Terengganu,0,0,0
2/14/2020,W.P. Kuala Lumpur,1,0,3
2/14/2020,W.P. Labuan,0,0,0
2/14/2020,W.P. Putrajaya,0,0,0
2/15/2020,Johor,0,1,2
2/15/2020,Kedah,1,0,2
2/15/2020,Kelantan,0,0,0
2/15/2020,Melaka,0,0,0
2/15/2020,Negeri Sembilan,0,0,2
2/15/2020,Pahang,0,0,0
2/15/2020,Perak,0,0,0
2/15/2020,Perlis,0,0,0
2/15/2020,Pulau Pinang,0,0,0
2/15/2020,Sabah,0,0,0
2/15/2020,Sarawak,0,0,0
2/15/2020,Selangor,2,0,5
2/15/2020,Terengganu,0,0,0
2/15/2020,W.P. Kuala Lumpur,0,0,3
2/15/2020,W.P. Labuan,0,0,0
2/15/2020,W.P. Putrajaya,0,0,0
2/16/2020,Johor,0,0,2
2/16/2020,Kedah,0,0,2
2/16/2020,Kelantan,0,0,0
2/16/2020,Melaka,0,0,0
2/16/2020,Negeri Sembilan,0,0,2
2/16/2020,Pahang,0,0,0
2/16/2020,Perak,0,0,0
2/16/2020,Perlis,0,0,0
2/16/2020,Pulau Pinang,0,0,0
2/16/2020,Sabah,0,0,0
2/16/2020,Sarawak,0,0,0
2/16/2020,Selangor,0,0,5
2/16/2020,Terengganu,0,0,0
2/16/2020,W.P. Kuala Lumpur,0,0,3
2/16/2020,W.P. Labuan,0,0,0
2/16/2020,W.P. Putrajaya,0,0,0
2/17/2020,Johor,0,0,2
2/17/2020,Kedah,0,0,2
2/17/2020,Kelantan,0,0,0
2/17/2020,Melaka,0,0,0
2/17/2020,Negeri Sembilan,0,2,0
2/17/2020,Pahang,0,0,0
2/17/2020,Perak,0,0,0
2/17/2020,Perlis,0,0,0
2/17/2020,Pulau Pinang,0,0,0
2/17/2020,Sabah,0,0,0
2/17/2020,Sarawak,0,0,0
2/17/2020,Selangor,0,1,4
2/17/2020,Terengganu,0,0,0
2/17/2020,W.P. Kuala Lumpur,0,0,3
2/17/2020,W.P. Labuan,0,0,0
2/17/2020,W.P. Putrajaya,0,0,0
2/18/2020,Johor,0,2,0
2/18/2020,Kedah,0,0,2
2/18/2020,Kelantan,0,0,0
2/18/2020,Melaka,0,0,0
2/18/2020,Negeri Sembilan,0,0,0
2/18/2020,Pahang,0,0,0
2/18/2020,Perak,0,0,0
2/18/2020,Perlis,0,0,0
2/18/2020,Pulau Pinang,0,0,0
2/18/2020,Sabah,0,0,0
2/18/2020,Sarawak,0,0,0
2/18/2020,Selangor,0,0,4
2/18/2020,Terengganu,0,0,0
2/18/2020,W.P. Kuala Lumpur,0,0,3
2/18/2020,W.P. Labuan,0,0,0
2/18/2020,W.P. Putrajaya,0,0,0
2/19/2020,Johor,0,0,0
2/19/2020,Kedah,0,1,1
2/19/2020,Kelantan,0,0,0
2/19/2020,Melaka,0,0,0
2/19/2020,Negeri Sembilan,0,0,0
2/19/2020,Pahang,0,0,0
2/19/2020,Perak,0,0,0
2/19/2020,Perlis,0,0,0
2/19/2020,Pulau Pinang,0,0,0
2/19/2020,Sabah,0,0,0
2/19/2020,Sarawak,0,0,0
2/19/2020,Selangor,0,3,1
2/19/2020,Terengganu,0,0,0
2/19/2020,W.P. Kuala Lumpur,0,0,3
2/19/2020,W.P. Labuan,0,0,0
2/19/2020,W.P. Putrajaya,0,0,0
2/20/2020,Johor,0,0,0
2/20/2020,Kedah,0,0,1
2/20/2020,Kelantan,0,0,0
2/20/2020,Melaka,0,0,0
2/20/2020,Negeri Sembilan,0,0,0
2/20/2020,Pahang,0,0,0
2/20/2020,Perak,0,0,0
2/20/2020,Perlis,0,0,0
2/20/2020,Pulau Pinang,0,0,0
2/20/2020,Sabah,0,0,0
2/20/2020,Sarawak,0,0,0
2/20/2020,Selangor,0,0,1
2/20/2020,Terengganu,0,0,0
2/20/2020,W.P. Kuala Lumpur,0,0,3
2/20/2020,W.P. Labuan,0,0,0
2/20/2020,W.P. Putrajaya,0,0,0
2/21/2020,Johor,0,0,0
2/21/2020,Kedah,0,0,1
2/21/2020,Kelantan,0,0,0
2/21/2020,Melaka,0,0,0
2/21/2020,Negeri Sembilan,0,0,0
2/21/2020,Pahang,0,0,0
2/21/2020,Perak,0,0,0
2/21/2020,Perlis,0,0,0
2/21/2020,Pulau Pinang,0,0,0
2/21/2020,Sabah,0,0,0
2/21/2020,Sarawak,0,0,0
2/21/2020,Selangor,0,0,1
2/21/2020,Terengganu,0,0,0
2/21/2020,W.P. Kuala Lumpur,0,0,3
2/21/2020,W.P. Labuan,0,0,0
2/21/2020,W.P. Putrajaya,0,0,0
2/22/2020,Johor,0,0,0
2/22/2020,Kedah,0,1,0
2/22/2020,Kelantan,0,0,0
2/22/2020,Melaka,0,0,0
2/22/2020,Negeri Sembilan,0,0,0
2/22/2020,Pahang,0,0,0
2/22/2020,Perak,0,0,0
2/22/2020,Perlis,0,0,0
2/22/2020,Pulau Pinang,0,0,0
2/22/2020,Sabah,0,0,0
2/22/2020,Sarawak,0,0,0
2/22/2020,Selangor,0,0,1
2/22/2020,Terengganu,0,0,0
2/22/2020,W.P. Kuala Lumpur,0,0,3
2/22/2020,W.P. Labuan,0,0,0
2/22/2020,W.P. Putrajaya,0,0,0
2/23/2020,Johor,0,0,0
2/23/2020,Kedah,0,0,0
2/23/2020,Kelantan,0,0,0
2/23/2020,Melaka,0,0,0
2/23/2020,Negeri Sembilan,0,0,0
2/23/2020,Pahang,0,0,0
2/23/2020,Perak,0,0,0
2/23/2020,Perlis,0,0,0
2/23/2020,Pulau Pinang,0,0,0
2/23/2020,Sabah,0,0,0
2/23/2020,Sarawak,0,0,0
2/23/2020,Selangor,0,0,1
2/23/2020,Terengganu,0,0,0
2/23/2020,W.P. Kuala Lumpur,0,0,3
2/23/2020,W.P. Labuan,0,0,0
2/23/2020,W.P. Putrajaya,0,0,0
2/24/2020,Johor,0,0,0
2/24/2020,Kedah,0,0,0
2/24/2020,Kelantan,0,0,0
2/24/2020,Melaka,0,0,0
2/24/2020,Negeri Sembilan,0,0,0
2/24/2020,Pahang,0,0,0
2/24/2020,Perak,0,0,0
2/24/2020,Perlis,0,0,0
2/24/2020,Pulau Pinang,0,0,0
2/24/2020,Sabah,0,0,0
2/24/2020,Sarawak,0,0,0
2/24/2020,Selangor,0,0,1
2/24/2020,Terengganu,0,0,0
2/24/2020,W.P. Kuala Lumpur,0,2,1
2/24/2020,W.P. Labuan,0,0,0
2/24/2020,W.P. Putrajaya,0,0,0
2/25/2020,Johor,0,0,0
2/25/2020,Kedah,0,0,0
2/25/2020,Kelantan,0,0,0
2/25/2020,Melaka,0,0,0
2/25/2020,Negeri Sembilan,0,0,0
2/25/2020,Pahang,0,0,0
2/25/2020,Perak,0,0,0
2/25/2020,Perlis,0,0,0
2/25/2020,Pulau Pinang,0,0,0
2/25/2020,Sabah,0,0,0
2/25/2020,Sarawak,0,0,0
2/25/2020,Selangor,0,0,1
2/25/2020,Terengganu,0,0,0
2/25/2020,W.P. Kuala Lumpur,0,0,1
2/25/2020,W.P. Labuan,0,0,0
2/25/2020,W.P. Putrajaya,0,0,0
2/26/2020,Johor,0,0,0
2/26/2020,Kedah,0,0,0
2/26/2020,Kelantan,0,0,0
2/26/2020,Melaka,0,0,0
2/26/2020,Negeri Sembilan,0,0,0
2/26/2020,Pahang,0,0,0
2/26/2020,Perak,0,0,0
2/26/2020,Perlis,0,0,0
2/26/2020,Pulau Pinang,0,0,0
2/26/2020,Sabah,0,0,0
2/26/2020,Sarawak,0,0,0
2/26/2020,Selangor,0,0,1
2/26/2020,Terengganu,0,0,0
2/26/2020,W.P. Kuala Lumpur,0,0,1
2/26/2020,W.P. Labuan,0,0,0
2/26/2020,W.P. Putrajaya,0,0,0
2/27/2020,Johor,0,0,0
2/27/2020,Kedah,0,0,0
2/27/2020,Kelantan,0,0,0
2/27/2020,Melaka,0,0,0
2/27/2020,Negeri Sembilan,0,0,0
2/27/2020,Pahang,0,0,0
2/27/2020,Perak,0,0,0
2/27/2020,Perlis,0,0,0
2/27/2020,Pulau Pinang,0,0,0
2/27/2020,Sabah,0,0,0
2/27/2020,Sarawak,0,0,0
2/27/2020,Selangor,1,1,1
2/27/2020,Terengganu,0,0,0
2/27/2020,W.P. Kuala Lumpur,0,1,0
2/27/2020,W.P. Labuan,0,0,0
2/27/2020,W.P. Putrajaya,0,0,0
2/28/2020,Johor,0,0,0
2/28/2020,Kedah,0,0,0
2/28/2020,Kelantan,0,0,0
2/28/2020,Melaka,0,0,0
2/28/2020,Negeri Sembilan,0,0,0
2/28/2020,Pahang,0,0,0
2/28/2020,Perak,0,0,0
2/28/2020,Perlis,0,0,0
2/28/2020,Pulau Pinang,0,0,0
2/28/2020,Sabah,0,0,0
2/28/2020,Sarawak,0,0,0
2/28/2020,Selangor,1,0,2
2/28/2020,Terengganu,0,0,0
2/28/2020,W.P. Kuala Lumpur,1,0,1
2/28/2020,W.P. Labuan,0,0,0
2/28/2020,W.P. Putrajaya,0,0,0
2/29/2020,Johor,0,0,0
2/29/2020,Kedah,0,0,0
2/29/2020,Kelantan,0,0,0
2/29/2020,Melaka,0,0,0
2/29/2020,Negeri Sembilan,0,0,0
2/29/2020,Pahang,0,0,0
2/29/2020,Perak,0,0,0
